195,tenth-line,Tenth Line,https://leetcode.com/problems/tenth-line/description/
194,transpose-file,Transpose File,https://leetcode.com/problems/transpose-file/description/
193,valid-phone-numbers,Valid Phone Numbers,https://leetcode.com/problems/valid-phone-numbers/description/
192,word-frequency,Word Frequency,https://leetcode.com/problems/word-frequency/description/
1734,bank-account-summary-ii,Bank Account Summary II,https://leetcode.com/problems/bank-account-summary-ii/description/
1724,customer-who-visited-but-did-not-make-any-transactions,Customer Who Visited but Did Not Make Any Transactions,https://leetcode.com/problems/customer-who-visited-but-did-not-make-any-transactions/description/
1718,warehouse-manager,Warehouse Manager,https://leetcode.com/problems/warehouse-manager/description/
1712,unique-orders-and-customers-per-month,Unique Orders and Customers Per Month,https://leetcode.com/problems/unique-orders-and-customers-per-month/description/
1702,bank-account-summary,Bank Account Summary,https://leetcode.com/problems/bank-account-summary/description/
1688,the-most-recent-orders-for-each-product,The Most Recent Orders for Each Product,https://leetcode.com/problems/the-most-recent-orders-for-each-product/description/
1686,fix-product-name-format,Fix Product Name Format,https://leetcode.com/problems/fix-product-name-format/description/
1671,the-most-recent-three-orders,The Most Recent Three Orders,https://leetcode.com/problems/the-most-recent-three-orders/description/
1670,patients-with-a-condition,Patients With a Condition,https://leetcode.com/problems/patients-with-a-condition/description/
1664,find-users-with-valid-e-mails,Find Users With Valid E-Mails,https://leetcode.com/problems/find-users-with-valid-e-mails/description/
1654,customer-order-frequency,Customer Order Frequency,https://leetcode.com/problems/customer-order-frequency/description/
1641,countries-you-can-safely-invest-in,Countries You Can Safely Invest In,https://leetcode.com/problems/countries-you-can-safely-invest-in/description/
1639,friendly-movies-streamed-last-month,Friendly Movies Streamed Last Month,https://leetcode.com/problems/friendly-movies-streamed-last-month/description/
1625,group-sold-products-by-the-date,Group Sold Products By The Date,https://leetcode.com/problems/group-sold-products-by-the-date/description/
1623,sales-by-day-of-the-week,Sales by Day of the Week,https://leetcode.com/problems/sales-by-day-of-the-week/description/
1608,calculate-salaries,Calculate Salaries,https://leetcode.com/problems/calculate-salaries/description/
1607,rectangles-area,Rectangles Area,https://leetcode.com/problems/rectangles-area/description/
1579,active-users,Active Users,https://leetcode.com/problems/active-users/description/
1578,apples-oranges,Apples & Oranges,https://leetcode.com/problems/apples-oranges/description/
1565,evaluate-boolean-expression,Evaluate Boolean Expression,https://leetcode.com/problems/evaluate-boolean-expression/description/
1564,create-a-session-bar-chart,Create a Session Bar Chart,https://leetcode.com/problems/create-a-session-bar-chart/description/
1551,npv-queries,NPV Queries,https://leetcode.com/problems/npv-queries/description/
1546,find-the-quiet-students-in-all-exams,Find the Quiet Students in All Exams,https://leetcode.com/problems/find-the-quiet-students-in-all-exams/description/
1541,top-travellers,Top Travellers,https://leetcode.com/problems/top-travellers/description/
1536,customers-who-bought-products-a-and-b-but-not-c,Customers Who Bought Products A and B but Not C,https://leetcode.com/problems/customers-who-bought-products-a-and-b-but-not-c/description/
1523,capital-gainloss,Capital Gain/Loss,https://leetcode.com/problems/capital-gainloss/description/
1518,total-sales-amount-by-year,Total Sales Amount by Year,https://leetcode.com/problems/total-sales-amount-by-year/description/
1509,replace-employee-id-with-the-unique-identifier,Replace Employee ID With The Unique Identifier,https://leetcode.com/problems/replace-employee-id-with-the-unique-identifier/description/
1504,get-the-second-most-recent-activity,Get the Second Most Recent Activity,https://leetcode.com/problems/get-the-second-most-recent-activity/description/
1495,number-of-trusted-contacts-of-a-customer,Number of Trusted Contacts of a Customer,https://leetcode.com/problems/number-of-trusted-contacts-of-a-customer/description/
1494,activity-participants,Activity Participants,https://leetcode.com/problems/activity-participants/description/
1481,students-with-invalid-departments,Students With Invalid Departments,https://leetcode.com/problems/students-with-invalid-departments/description/
1480,movie-rating,Movie Rating,https://leetcode.com/problems/movie-rating/description/
